Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities,Listing_Type,Area_SqFt,Build_Area_SqFt,Price_per_SqFt,Neighborhood,Road_Width_Feet,Year_AD,Property_Age,Age_Unknown,Amenity_Count,Log_Price,Log_Area,Neighborhood_Freq,Neighborhood_MedianPPSF,Predicted_Price,Value_Gap_Pct
"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,90000000,6,3,2.0,10,West,2073.0,17,1-0-0-0 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,18-0-0-0 Aana,11 hours ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Modular Kitchen', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Wifi', 'Water Well', 'Solar Water', 'TV Cable']",Sale,5476.0,98568.0,16435.35427319211,Budhanilkantha,20.0,2016.0,4.0,0,16,18.31532023940565,8.608312784783722,0.11382113821138211,13184.806428049671,83924514.56729022,7.239226183236952
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,80000000,5,3,2.0,9,East,2073.0,26,0-21-0-0 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,0-14-0-0 Aana,12 hours ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Sale,7187.25,4791.5,11130.821941632752,Budhanilkantha,20.0,2016.0,4.0,0,15,18.197537205138154,8.880203027487838,0.11382113821138211,13184.806428049671,83552234.65312836,-4.251513640389932
"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,70000000,5,3,2.0,12,East,2071.0,154,1-1-0-0 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,10-1-0-0 Aana,2 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Sale,5818.25,55102.25,12031.109010441283,Dhapasi,20.0,2014.0,6.0,0,16,18.064005814299346,8.668926666442168,0.015098722415795587,15555.54898371399,76734169.23796457,-8.77597204067052
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,130000000,6,4,3.0,9,West,2017.0,17,0-10-1-0 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,0-7-1-0 Aana,1 day ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Wifi', 'TV Cable']",Sale,3508.0625,2481.3125,37057.49256177733,Baluwatar,20.0,2017.0,3.0,0,16,18.683045016112164,8.163104186766859,0.02032520325203252,19576.333089846605,107660913.42788121,20.749486383545378
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,100000000,6,3,2.0,10,East,2070.0,59,0-19-2-0 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,0-14-2-0 Aana,2 days ago,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Solar Water', 'Water Well']",Sale,6673.875,4962.625,14983.798767582552,Golfutar,20.0,2013.0,7.0,0,16,18.420680753952364,8.806105756501346,0.018002322880371662,15420.826231637042,94631092.81825173,5.673512818941848
"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,100000000,5,6,3.0,9,East,2074.0,92,0-12-3-1 Aana,13 Feet / Blacktopped,13 Feet ,Blacktopped,0-8-3-1 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Solar Water']",Sale,4385.078125,3016.078125,22804.61080724759,Banasthali,13.0,2017.0,3.0,0,16,18.420680753952364,8.386190741176696,0.005226480836236934,20071.775653444278,90533980.92531894,10.455763656841217
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,11000000,3,4,3.0,1,South East,2019.0,317,3-1-1 Aana,11 Feet / Gravelled,11 Feet ,Gravelled,N/A Aana,3 days ago,"['Parking', 'Balcony']",Sale,1133.703125,,9702.716484970437,Lubhu,11.0,2019.0,1.0,0,2,16.213405921671733,7.034126331825054,0.005807200929152149,1207.6941806671534,13718232.284302272,-19.814741637031005
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,50000000,5,4,2.0,9,East,2073.0,618,0-8-5-0 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,0-6-5-0 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well']",Sale,3165.8125,2481.3125,15793.733836100528,Budhanilkantha,20.0,2016.0,4.0,0,16,17.72753358339242,8.060480840491712,0.11382113821138211,13184.806428049671,51951143.60459687,-3.755727918998538
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,100000000,10,8,3.5,5,North,2017.0,110,0-12-3-2 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,0-9-3-2 Aana,4 days ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']",Sale,4406.46875,3379.71875,22693.90881303765,Baluwatar,20.0,2017.0,3.0,0,16,18.420680753952364,8.391055824059709,0.02032520325203252,19576.333089846605,96838312.08011857,3.2649143215813496
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,32500000,6,4,2.5,1,South East,2065.0,2.6K,0-4-0-0 Aana,12 Feet / Concrete,12 Feet ,Concrete,2394 Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",Sale,1369.0,819346.5,23739.956172388604,Sukedhara,12.0,2008.0,12.0,0,13,17.296750678069195,7.222566018822171,0.013356562137049941,20452.885317750184,29933958.021123454,8.572344415883029
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,32000000,4,5,3.0,3,South West,2075.0,922,14 Aana,15 Feet / Blacktopped,15 Feet ,Blacktopped,7 Aana,3 weeks ago,"['Parking', 'Backyard']",Sale,4791.5,2395.75,6678.493164979652,Lekhnath,15.0,2018.0,2.0,0,2,17.281246492014,8.4748074749198,0.0023228803716608595,3595.0945357062,40884942.698823035,-21.731576742747414
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,39900000,5,4,3.0,1,North West,2075.0,592,0-4-2-0 Aana,14 Feet / Paved,14 Feet ,Paved,2500 Aana,1 month ago,"['Parking', 'Balcony', 'Internet']",Sale,1540.125,855625.0,25906.988069150233,Chapali,14.0,2018.0,2.0,0,3,17.50188690692275,7.340267948188717,0.008130081300813009,10348.1860238617,34301065.10246602,16.322918488998923
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,15000000,2,2,1.0,1,South,2074.0,766,5 Aana,12 Feet / Gravelled,12 Feet ,Gravelled,N/A Aana,1 month ago,['Parking'],Sale,1711.25,,8765.522279035793,Budhanilkantha,12.0,2017.0,3.0,0,1,16.52356082573315,7.445563574078014,0.11382113821138211,13184.806428049671,11907697.950607374,25.968932552869273
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,52500000,5,5,3.0,3,South East,2075.0,872,8 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Modular Kitchen', 'Microwave', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well']",Sale,2738.0,,19174.579985390796,Budhanilkantha,20.0,2018.0,2.0,0,9,17.77632374660947,7.915348169263078,0.11382113821138211,13184.806428049671,49372388.417985596,6.334738266125816
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3.0,1,East,2076.0,1.1K,4 Aana,13 Feet / Paved,13 Feet ,Paved,N/A Aana,1 month ago,['Parking'],Sale,1369.0,,19357.19503287071,Budhanilkantha,13.0,2019.0,1.0,0,1,17.0926553286923,7.222566018822171,0.11382113821138211,13184.806428049671,27660615.220675096,-4.195912532732052
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000,6,6,3.0,1,East,2076.0,1.6K,4 Aana,13 Feet / Gravelled,13 Feet ,Gravelled,2700 Sq. Feet,1 month ago,['Parking'],Sale,1369.0,2700.0,18626.73484295106,Sitapaila,13.0,2019.0,1.0,0,1,17.05418904934434,7.222566018822171,0.013937282229965157,14791.8188458729,26588730.04410536,-4.094704945664476
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000,6,4,2.5,1,East,2056.0,2.8K,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,N/A Aana,2 months ago,"['Lawn', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",Sale,2053.5,,16070.124178232287,Narephate,20.0,1999.0,21.0,0,12,17.312018149733785,7.627787788323465,0.0017421602787456446,16070.124178232287,34750181.30115564,-5.0364666762110915
