Neighborhood,Frequency
Budhanilkantha,0.11382113821138211
Imadol,0.050522648083623695
Kapan,0.023228803716608595
Bhaisepati,0.02264808362369338
Hattigauda,0.022067363530778164
Basundhara,0.02148664343786295
Tokha,0.020905923344947737
Baluwatar,0.02032520325203252
Golfutar,0.018002322880371662
Samakhusi,0.018002322880371662
Chabahil,0.0156794425087108
Dhapasi,0.015098722415795587
Sitapaila,0.013937282229965157
Sukedhara,0.013356562137049941
Bhangal,0.012775842044134728
Jorpati,0.012195121951219513
Kalanki,0.012195121951219513
Maharajgunj,0.011614401858304297
Tikathali,0.011033681765389082
Swayambhu,0.011033681765389082
Pokhara,0.011033681765389082
Sanepa,0.009872241579558653
Baneshwor,0.009291521486643438
Pepsicola,0.009291521486643438
Kadaghari,0.009291521486643438
Pasikot,0.008710801393728223
Kirtipur,0.008710801393728223
Bharatpur,0.008710801393728223
Mandikatar,0.008130081300813009
Chandragiri,0.008130081300813009
Dhumbarahi,0.008130081300813009
Chapali,0.008130081300813009
Balaju,0.007549361207897794
Mulpani,0.007549361207897794
Manamaiju,0.005807200929152149
Dhapakhel,0.005807200929152149
Godawari,0.005807200929152149
Gongabu,0.005807200929152149
Dharan,0.005807200929152149
Thankot,0.005807200929152149
Lubhu,0.005807200929152149
Naya Bazar,0.005807200929152149
Tarkeshwor,0.005807200929152149
Chandol,0.005226480836236934
Goldhunga,0.005226480836236934
Naikap,0.005226480836236934
Banasthali,0.005226480836236934
Gaurighat,0.005226480836236934
Harisiddhi,0.005226480836236934
Lazimpat,0.005226480836236934
Hattiban,0.004645760743321719
Kavresthali,0.004645760743321719
Hetauda,0.004645760743321719
Bafal,0.004645760743321719
Boudha,0.004645760743321719
Gothatar,0.004645760743321719
Koteshwor,0.004645760743321719
Madhyapur Thimi,0.004645760743321719
Ramkot,0.004645760743321719
Baniyatar,0.004645760743321719
Dhobighat,0.004645760743321719
Basbari,0.0040650406504065045
Gokarneshwor,0.0040650406504065045
Thamel,0.0040650406504065045
Naxal,0.0040650406504065045
Bhaktapur,0.0040650406504065045
Sankhamul,0.0040650406504065045
Changunarayan,0.003484320557491289
Nakhipot,0.003484320557491289
Balkhu,0.003484320557491289
Machhegaun,0.003484320557491289
Butwal,0.003484320557491289
Chauthe,0.003484320557491289
Thulo Bharyang,0.003484320557491289
Satungal,0.003484320557491289
Mid Baneshwor,0.003484320557491289
Kamalpokhari,0.0029036004645760743
Suryabinayak,0.0029036004645760743
Dadikot,0.0029036004645760743
Balkot,0.0029036004645760743
Nagarjun,0.0029036004645760743
Patan,0.0029036004645760743
Syuchatar,0.0029036004645760743
Durbar Marg,0.0029036004645760743
Shantinagar,0.0029036004645760743
Damak,0.0029036004645760743
Thali,0.0029036004645760743
Satdobato,0.0023228803716608595
Raniban,0.0023228803716608595
Lokanthali,0.0023228803716608595
Lekhnath,0.0023228803716608595
Itahari,0.0023228803716608595
Thaiba,0.0023228803716608595
Ram Bazar,0.0023228803716608595
Makalbari,0.0023228803716608595
Tahachal,0.0023228803716608595
Ekatabasti,0.0023228803716608595
Hattisar,0.0023228803716608595
Old Baneshwor,0.0023228803716608595
Jhamsikhel,0.0023228803716608595
Sanobharyang,0.0023228803716608595
Maligaon,0.0023228803716608595
Thapathali,0.0023228803716608595
Kupondole,0.0023228803716608595
Nakkhu,0.0023228803716608595
Putalisadak,0.0023228803716608595
Birgunj,0.0023228803716608595
Dhungedhara,0.0023228803716608595
Chhauni,0.0023228803716608595
Sallaghari,0.0023228803716608595
Kageshwari-Manohara,0.0017421602787456446
Dakshinkali,0.0017421602787456446
Dhading,0.0017421602787456446
Kausaltar,0.0017421602787456446
Gaushala,0.0017421602787456446
Gurujudhara,0.0017421602787456446
Hadigaun,0.0017421602787456446
Balambu,0.0017421602787456446
Tarakeshwar,0.0017421602787456446
Tinkune,0.0017421602787456446
Duwakot,0.0017421602787456446
Chundevi,0.0017421602787456446
Gwarko,0.0017421602787456446
Maitidevi,0.0017421602787456446
Narephate,0.0017421602787456446
Mhepi,0.0017421602787456446
Ekantakuna,0.0017421602787456446
Lamatar,0.0017421602787456446
Bishal Nagar,0.0017421602787456446
Chovar,0.0017421602787456446
Anamnagar,0.0017421602787456446
Kalimati,0.0017421602787456446
Tarahara,0.0017421602787456446
Tripureshwor,0.0017421602787456446
Gatthaghar,0.0017421602787456446
Birtamod Road,0.0017421602787456446
Nawalparasi,0.0017421602787456446
Sano Bharyang,0.0017421602787456446
Sankhu,0.0017421602787456446
Dallu,0.0017421602787456446
Teku,0.0017421602787456446
