Neighborhood,Median_Price_per_SqFt
Anamnagar,2921.8407596785974
Bafal,16881.74661147634
Baghdol,6238.794076631914
Bajha Patan,3687.694884569017
Balaju,8249.903321445452
Balambu,11979.54711468225
Balkhu,14435.284705554976
Balkot,15096.177258339421
Balkumari,14297.061159650517
Baluwatar,19576.333089846605
Banasthali,20071.775653444278
Banepa,231.19419603282105
Baneshwor,6726.190476190476
Baniyatar,19028.487947406866
Basantapur,4523.922571219869
Basbari,14297.16255221372
Basundhara,17666.944128289193
Battisputali,15877.172429951625
Bhairahawa,54.869684499314126
Bhaisepati,10000.0
Bhaktapur,1022.6442658875092
Bhandara,228.62368541380886
Bhangal,17531.044558071586
Bharatpur,6858.710562414266
Bhaswar Marg,193.65770999757927
Bhatbhateni,20807.04783407486
Biratnagar,91.44947416552355
Birendra Chowk,2087.029114056141
Birendranagar,823.0452674897119
Birgunj,381.6066042116382
Birtamod Road,78.87517146776406
Bishal Nagar,12162.162162162162
Bode,616.8514013838139
Boudha,5222.242512783054
Buddha Bhumi Nagarpalika,4342.723004694835
Buddhanagar,29121.012904796688
Budhanilkantha,13184.806428049671
Butwal,559.4993141289438
Chabahil,4515.572083139651
Chakupat,13772.494853575934
Chamati,3895.7876795714633
Chandol,3028.089514576001
Chandragiri,1241.7823228634038
Changunarayan,774.2878013148284
Chapali,10348.1860238617
Chauthe,711.1111111111111
Chhauni,10574.280844551115
Chitapol,149.48952723937012
Chitrawan,1042.5240054869685
Chovar,243.48672997321646
Chundevi,4382.7611395178965
Civil Homes,14365.717068419772
DDC Chowk,4877.305288827923
Dadikot,10541.543132958077
Dakshinkali,292.18407596785977
Dallu,23374.72607742878
Dam Side,1022.6442658875092
Damak,502.9721079103795
Devkota Chowk,11413.440467494522
Dhading,5551.497443389335
Dhampus,99830.43093462012
Dhangadhi,3063.557384545039
Dhapakhel,14214.98718796016
Dhapasi,15555.54898371399
Dharan,452.55765420374473
Dharmasthali,8312.63696128561
Dhobighat,12685.252820387956
Dhulikhel,9391.024318742735
Dhumbarahi,16950.42235582776
Dhungedhara,17292.851017880395
Dillibazar,973.9469198928658
Durbar Marg,3100.728969454838
Duwakot,891.9303371650456
Ekantakuna,1460.9203798392987
Ekatabasti,20482.767780065078
Fikal,1184.7463902258423
Fulbari,7976.625273922571
Gaidakot,8035.062089116143
Gairidhara,19722.425127830535
Gairigaun,25971.917863809755
Gatthaghar,12174.336498660823
Gaurighat,1460.9203798392987
Gaushala,8000.0
Ghari Patan,12275.362133114622
Ghattekulo,21643.26488650813
Godawari,818.1154127100073
Gokarneshwor,271.3137848272983
Goldhunga,5064.523983442902
Golfutar,15420.826231637042
Gongabu,18225.10307739723
Gothatar,14261.365612716963
Grande Villa,19200.667849316498
Guheshwori,20818.11541271001
Guleriya,1001.3717421124828
Gurujudhara,7641.737371467101
Gwarko,20035.479494938954
Hadigaun,24348.672997321646
Harisiddhi,13580.386629492074
Hattiban,1950.328707085464
Hattigauda,14609.203798392988
Hattisar,18114.855704739162
Hetauda,301.7832647462277
Imadol,16278.8270896379
Itahari,3017.8326474622772
Jagati,1655.7097638178718
Jamal,35803.819263278725
Jawalakhel,1552.2279035792549
Jhamsikhel,17862.371888726208
Joranku,14590.942293644996
Jorpati,6000.0
Kadaghari,11930.849768687607
Kageshwari-Manohara,1636.2308254200145
Kaji Pokhari,333.3333333333333
Kalanki,2045.2885317750183
Kalikasthan,28929.116432461364
Kalimati,22985.147309471635
Kalopul,11485.284270757244
Kamaladi,11821.70054490651
Kamalpokhari,16176.470588235294
Kapan,14052.66270131135
Kapurdhara,23374.72607742878
Kausaltar,11687.36303871439
Kavresthali,4449.719990260531
Kawasoti,91.44947416552355
Khairahani,52.75931201857128
Kharipati,182.61504747991233
Khumaltar,15887.509130752374
Khusibu,2295.7320254617553
Kirtipur,1168.736303871439
Koteshwor,1823.906416811822
Kumaripati,3538.4615384615386
Kupondole,1683.3333333333335
Kusunti,10796.054039297282
Lagankhel,2389.491808410727
Lainchaur,5819.829758053696
Lakeside,33582.79237932476
Lamatar,5843.681519357195
Lazimpat,4869.734599464329
Lekhnath,3595.0945357062
Lele,467.4945215485756
Lokanthali,14019.348621556463
Lubhu,1207.6941806671534
Machha Pokhari,6000.0
Machhegaun,1344.046749452155
Madhyapur Thimi,2027.7777777777778
Mahalaxmi Nagarpalika,3827.089637900449
Mahalaxmisthan,633.0654979303628
Mahankal,1424.3973703433162
Maharajgunj,20270.270270270274
Mahendrapul,8512.271800560087
Maitidevi,5478.45142439737
Makalbari,13068.478403378522
Maligaon,15826.637448259069
Manamaiju,14828.341855368883
Mandikatar,18691.53373076651
Mangal Bazar,4250.0
Matatirtha,3041.4899512495185
Mhepi,15861.421266826672
Mid Baneshwor,11053.227269443485
Minbhawan,3481.8602386169955
Mulpani,1623.2448664881097
Nagarjun,2921.8407596785974
Nagarkot,796.8656617305265
Nagdhunga,8674.214755295836
Naghdaha,292.18407596785977
Naikap,10093.631715253337
Nakhipot,12575.075075075074
Nakhundol,16232.448664881098
Nakkhu,18861.525618282376
Namobuddha,331.6684105581111
Narephate,16070.124178232287
Nawalparasi,301.7832647462277
Naxal,15826.637448259069
Naya Bazar,9203.798392987583
Nepaltar,9432.188945702459
Newroad,72272.59861212564
Old Baneshwor,11476.240301660317
Paknajol,25919.555126181105
Panauti,8765.522279035793
Panchkhal,63.91526661796932
Panipokhari,18134.252519981324
Pasikot,13391.770148526904
Patan,2333.3333333333335
Pepsicola,3246.4897329762193
Pokhara,3638.0896618566194
Pokharia,164.60887059899406
Pulchowk,4571.428571428572
Putalisadak,14303.106194998087
Raam Bazar,5217.572785140353
Radhe Radhe,18365.856203694042
Ram Bazar,13495.078089672685
Ramkot,10774.28780131483
Raniban,6853.879565300664
Ranibari,4163.623082542002
Ranipauwa,16632.01663201663
Ratnanagar,1910.5037800314976
Ratopul,19235.4516678841
Ravi Bhawan,8035.062089116143
Sallaghari,1150.1849339687178
Samakhusi,19104.343428667755
Sanepa,3756.652405301054
Sankhamul,3287.070854638422
Sankhu,701.2417823228634
Sano Bharyang,22887.752617482347
Sano Gaucharan,3296.4357288681613
Sano Gaun,14122.230338446554
Sanobharyang,20717.518537919583
Sarankot,63.91526661796932
Saraswatikhel,379.8392987582177
